#	Name	Team	BB% BB% - Walk Percentage (BB/PA)	AVG AVG - Batting Average (H/AB)	OBP OBP - On Base Percentage	wRC+ wRC+ - Runs per PA scaled where 100 is average; both league and park adjusted; based on wOBA	PA PA - Plate Appearances	K% K% - Strikeout Percentage (SO/PA)	SLG SLG - Slugging Percentage	wOBA wOBA - Weighted On Base Average (Linear Weights)	OPS OPS - On Base + Slugging Percentage
410	Leo Jiménez	MIA	8.2%	.220	.327	69	49	18.4%	.244	.273	.570
411	Alex Call	LAD	15.2%	.200	.333	73	66	18.2%	.236	.277	.570
412	George Valera	CLE	2.8%	.229	.250	54	36	19.4%	.314	.249	.564
413	Drew Romo	CHW	7.2%	.147	.217	52	83	26.5%	.347	.247	.564
414	Zach McKinstry	DET	9.5%	.198	.272	55	148	17.6%	.290	.252	.562
415	Danny Jansen	TEX	9.3%	.161	.271	62	108	25.9%	.290	.260	.561
416	Henry Davis	PIT	11.8%	.140	.271	61	119	20.2%	.290	.262	.561
417	Marcell Ozuna	PIT	6.8%	.191	.257	54	148	29.1%	.301	.253	.558
418	Andruw Monasterio	BOS	2.8%	.232	.254	48	71	25.4%	.304	.247	.558
419	Lourdes Gurriel Jr.	ARI	5.7%	.222	.261	52	88	20.5%	.296	.248	.558
420	Gage Workman	DET	0.0%	.158	.158	41	38	42.1%	.395	.231	.553
421	Drew Millas	WSN	6.3%	.192	.259	55	112	19.6%	.293	.251	.552
422	Austin Hedges	CLE	9.1%	.220	.291	59	55	25.5%	.260	.256	.551
423	Luisangel Acuña	CHW	7.2%	.216	.280	56	83	22.9%	.270	.253	.551
424	Victor Robles	SEA	6.7%	.250	.300	64	30	6.7%	.250	.255	.550
425	Brady House	WSN	5.7%	.174	.220	48	123	30.1%	.330	.241	.550
426	Nasim Nuñez	WSN	9.3%	.215	.290	57	182	21.4%	.259	.254	.549
427	Austin Hays	CHW	0.0%	.226	.226	46	31	32.3%	.323	.239	.548
428	Jimmy Crooks	STL	9.8%	.167	.268	59	41	24.4%	.278	.254	.546
429	Marcelo Mayer	BOS	7.9%	.206	.279	51	202	19.8%	.267	.251	.545
430	Dylan Crews	WSN	0.0%	.184	.215	47	79	22.8%	.329	.239	.544
431	Mark Vientos	NYM	4.3%	.180	.220	50	141	24.8%	.323	.239	.543
432	Pavin Smith	ARI	14.6%	.175	.292	58	48	25.0%	.250	.256	.542
433	Jace Jung	DET	25.0%	.167	.375	79	8	12.5%	.167	.287	.542
434	TJ Friedl	CIN	7.8%	.182	.268	50	153	24.2%	.273	.250	.541
435	Jhostynxon Garcia	PIT	4.0%	.217	.280	53	25	28.0%	.261	.251	.541
436	Alek Thomas	ARI	3.6%	.167	.207	44	83	22.9%	.333	.236	.541
437	Trevor Story	BOS	4.7%	.198	.234	42	128	32.0%	.306	.239	.540
438	Salvador Perez	KCR	3.1%	.192	.229	43	227	19.8%	.310	.238	.539
439	Rece Hinds	CIN	3.8%	.174	.231	39	26	38.5%	.304	.235	.535
440	Jorge Barrosa	ARI	5.3%	.162	.208	41	75	34.7%	.324	.232	.532
