#	Name	Team	BB% BB% - Walk Percentage (BB/PA)	AVG AVG - Batting Average (H/AB)	OBP OBP - On Base Percentage	wRC+ wRC+ - Runs per PA scaled where 100 is average; both league and park adjusted; based on wOBA	PA PA - Plate Appearances	K% K% - Strikeout Percentage (SO/PA)	SLG SLG - Slugging Percentage	wOBA wOBA - Weighted On Base Average (Linear Weights)	OPS OPS - On Base + Slugging Percentage
393	Denzel Clarke	ATH	4.0%	.217	.250	38	25	32.0%	.261	.231	.511
394	Nick Castellanos	SDP	2.9%	.182	.206	31	34	26.5%	.303	.209	.509
395	Steven Kwan	CLE	14.1%	.169	.294	50	85	14.1%	.211	.242	.505
396	Patrick Bailey	2 Tms	11.5%	.136	.231	42	26	30.8%	.273	.229	.503
397	Isiah Kiner-Falefa	BOS	10.0%	.167	.250	39	40	20.0%	.250	.233	.500
398	Ryan Mountcastle	BAL	0.0%	.250	.250	38	4	25.0%	.250	.224	.500
399	Oliver Dunn	TBR	0.0%	.250	.250	35	4	25.0%	.250	.224	.500
400	Jeferson Quero	MIL	50.0%	.000	.500	124	2	0.0%	.000	.351	.500
401	Rikuu Nishida	CHW	0.0%	.250	.250	36	4	25.0%	.250	.224	.500
402	James Outman	MIN	6.7%	.154	.267	46	15	40.0%	.231	.240	.497
403	Matt Wallner	MIN	4.3%	.143	.234	41	47	36.2%	.262	.232	.496
404	Pedro Pagés	STL	2.2%	.205	.222	36	45	28.9%	.273	.219	.495
405	Chandler Simpson	TBR	3.4%	.210	.233	32	87	12.6%	.259	.218	.492
406	Mike Yastrzemski	ATL	8.3%	.150	.292	52	24	33.3%	.200	.247	.492
407	Rob Refsnyder	SEA	6.0%	.151	.217	41	83	30.1%	.274	.221	.491
408	Kerry Carpenter	DET	0.0%	.182	.308	54	13	30.8%	.182	.250	.490
409	Kyle Stowers	MIA	7.0%	.179	.233	33	43	27.9%	.256	.221	.489
410	Alec Burleson	STL	4.6%	.195	.230	36	87	10.3%	.256	.219	.486
411	Andrés Giménez	TOR	3.2%	.164	.246	40	62	11.3%	.236	.228	.482
412	Troy Johnston	COL	3.8%	.188	.231	19	53	11.3%	.250	.217	.481
413	J.T. Realmuto	PHI	8.7%	.195	.283	41	46	10.9%	.195	.232	.478
414	Santiago Espinal	LAD	2.8%	.182	.200	26	36	11.1%	.273	.207	.473
415	Eloy Jiménez	TOR	0.0%	.231	.231	25	13	15.4%	.231	.206	.462
416	Gavin Sheets	SDP	9.8%	.162	.244	36	41	29.3%	.216	.218	.460
417	Jerar Encarnacion	SFG	5.6%	.176	.222	29	18	27.8%	.235	.209	.458
418	Davis Schneider	TOR	25.0%	.103	.327	56	52	34.6%	.128	.251	.455
419	Chadwick Tromp	ATL	0.0%	.182	.182	18	11	36.4%	.273	.197	.455
420	Andrew Benintendi	CHW	5.7%	.188	.235	27	35	40.0%	.219	.210	.454
421	Kevin Alcántara	CHC	14.3%	.167	.286	41	7	28.6%	.167	.228	.452
422	Lawrence Butler	ATH	11.4%	.161	.257	30	35	25.7%	.194	.219	.451
423	James McCann	ARI	0.0%	.207	.207	18	29	17.2%	.241	.198	.448
424	Braxton Fulford	COL	5.3%	.176	.211	5	19	52.6%	.235	.198	.446
425	Christopher Morel	MIA	0.0%	.200	.200	15	25	44.0%	.240	.194	.440
426	A.J. Ewing	NYM	6.7%	.154	.207	21	30	33.3%	.231	.196	.438
427	Edgar Quero	CHW	10.2%	.104	.207	22	59	22.0%	.229	.203	.436
428	Jake Meyers	HOU	5.3%	.139	.184	17	38	18.4%	.250	.195	.434
429	Will Smith	LAD	13.7%	.159	.275	34	51	27.5%	.159	.219	.434
430	Alex Jackson	MIN	0.0%	.182	.250	26	12	50.0%	.182	.210	.432
431	Connor Wong	BOS	4.2%	.182	.250	22	24	16.7%	.182	.209	.432
432	Bryan Torres	STL	7.7%	.182	.250	28	13	15.4%	.182	.208	.432
433	Nick Sogard	BOS	8.3%	.182	.250	21	12	8.3%	.182	.208	.432
434	Jesús Sánchez	TOR	0.0%	.174	.208	17	24	16.7%	.217	.195	.426
435	Luisangel Acuña	CHW	2.1%	.196	.208	13	48	6.3%	.217	.190	.426
436	Tyler Tolbert	KCR	20.0%	.125	.300	37	10	30.0%	.125	.230	.425
437	Yohel Pozo	STL	0.0%	.211	.211	15	19	0.0%	.211	.188	.421
438	Luis Rengifo	MIL	8.8%	.153	.225	16	80	18.8%	.194	.192	.419
439	Noelvi Marte	CIN	6.7%	.071	.133	5	15	53.3%	.286	.184	.419
440	Tyler Heineman	TOR	0.0%	.207	.207	11	29	20.7%	.207	.185	.414
441	Rafael Marchán	PHI	0.0%	.105	.150	8	20	20.0%	.263	.184	.413
442	Nathan Lukes	TOR	5.6%	.133	.278	34	18	27.8%	.133	.220	.411
443	Sal Frelick	MIL	4.9%	.143	.197	14	61	13.1%	.214	.189	.411
444	Trevor Larnach	MIN	11.5%	.087	.192	16	26	26.9%	.217	.195	.410
445	Drew Millas	WSN	23.1%	.100	.308	41	13	46.2%	.100	.231	.408
446	Sam Haggerty	TEX	5.6%	.152	.222	17	36	36.1%	.182	.194	.404
447	Vinnie Pasquantino	KCR	7.2%	.145	.217	11	83	24.1%	.184	.191	.401
448	César Salazar	HOU	0.0%	.200	.200	6	5	0.0%	.200	.179	.400
449	Jesus Rodriguez	SFG	7.7%	.167	.231	17	13	15.4%	.167	.192	.397
450	Sterlin Thompson	COL	7.7%	.167	.231	1	13	38.5%	.167	.192	.397
451	Cal Raleigh	SEA	7.8%	.133	.196	15	51	31.4%	.200	.183	.396
452	Justin Crawford	PHI	9.4%	.143	.250	19	32	18.8%	.143	.200	.393
453	Brendan Donovan	SEA	4.2%	.174	.208	12	24	25.0%	.174	.178	.382
454	Kyle Isbel	KCR	2.8%	.147	.171	-5	36	22.2%	.206	.168	.377
455	Tyler O'Neill	BAL	8.6%	.132	.207	9	58	36.2%	.170	.181	.377
456	Josh Lowe	LAA	0.0%	.158	.158	-8	20	35.0%	.211	.161	.368
457	TJ Friedl	CIN	4.0%	.167	.200	-4	25	20.0%	.167	.171	.367
458	Alex Freeland	LAD	5.9%	.125	.176	0	17	41.2%	.188	.168	.364
459	Jared Young	NYM	11.1%	.125	.222	8	9	33.3%	.125	.177	.347
460	Leo Jiménez	MIA	6.1%	.133	.212	1	33	27.3%	.133	.173	.345
461	Jake Cronenworth	SDP	0.0%	.150	.190	-1	21	14.3%	.150	.163	.340
462	Austin Wells	NYY	8.9%	.100	.179	-4	56	23.2%	.160	.163	.339
463	Yohendrick Piñango	TOR	0.0%	.125	.125	-18	24	41.7%	.208	.143	.333
464	Griffin Conine	MIA	0.0%	.167	.167	-15	6	16.7%	.167	.149	.333
465	Ronny Mauricio	NYM	0.0%	.167	.167	-11	6	50.0%	.167	.149	.333
466	Jhostynxon Garcia	PIT	0.0%	.167	.167	-16	12	25.0%	.167	.149	.333
467	Graham Pauley	MIA	0.0%	.167	.167	-15	7	14.3%	.167	.149	.333
468	Sam Antonacci	CHW	2.5%	.091	.231	7	40	25.0%	.091	.181	.322
