#	Name	Team	K/9 K/9 - Strikeouts per 9 Innings ((SO*9)/IP)	BB/9 BB/9 - Walks per 9 Innings ((BB*9)/IP)	K-BB% K-BB% - The difference between strikeout percentage and walk percentage	xFIP xFIP - Expected Fielder Independent Pitching where Home Runs are calculated as 10.5% of Fly Balls induced	SIERA SIERA - Skill Interactive ERA	IP IP - Innings Pitched	gmLI gmLI - Average Leverage Index when entering the game	LD% LD% - Line Drive Percentage (LD/BIP)	GB% GB% - Ground Ball Percentage (GB/BIP)	FB% FB% - Fly Ball Percentage (FB/BIP)
150	Spencer Strider	ATL	9.00	3.00	11.8%	6.08	4.76	3.0	0.87	25.0%	25.0%	50.0%
151	Stephen Kolek	KCR	4.50	1.93	6.3%	4.88	5.08	14.0	0.87	26.4%	39.6%	34.0%
152	Taj Bradley	MIN	7.88	3.38	11.4%	4.90	4.72	16.0	0.90	18.4%	28.6%	53.1%
153	Tanner Banks	PHI	18.00	18.00	0.0%	8.08	7.63	1.0	0.87	0.0%	0.0%	100.0%
154	Tanner Bibee	CLE	10.95	2.92	23.4%	3.21	3.10	12.1	0.87	10.7%	42.9%	46.4%
155	Tarik Skubal	DET	10.45	1.74	21.7%	3.09	3.19	10.1	0.90	20.7%	44.8%	34.5%
156	Tatsuya Imai	HOU	16.20	1.35	35.5%	1.52	1.99	6.2	0.53	38.9%	22.2%	38.9%
157	Tobias Myers	NYM	6.75	20.25	-18.2%	11.71	9.38	1.1	0.87	33.3%	16.7%	50.0%
158	Tomoyuki Sugano	COL	5.63	2.25	8.6%	4.84	4.97	16.0	0.88	25.0%	32.1%	42.9%
159	Trevor McDonald	SFG	6.75	8.10	-2.5%	7.89	6.27	6.2	0.87	26.1%	39.1%	34.8%
160	Trevor Rogers	BAL	6.27	2.41	11.3%	4.67	4.70	18.2	0.87	12.0%	34.0%	54.0%
161	Trey Gibson	BAL	14.46	8.68	12.5%	4.06	4.57	9.1	0.87	21.7%	52.2%	26.1%
162	Trey Yesavage	TOR	6.57	4.38	5.9%	5.52	5.61	12.1	0.90	20.0%	22.9%	57.1%
163	Troy Melton	DET	8.18	2.45	15.2%	4.68	4.00	11.0	0.87	6.5%	45.2%	48.4%
164	Tyler Phillips	MIA	9.00	5.00	10.3%	4.76	4.66	9.0	0.87	12.0%	40.0%	48.0%
165	Walbert Ureña	LAA	8.47	3.71	12.2%	4.30	4.09	17.0	0.89	12.5%	56.3%	31.3%
166	Walker Buehler	SDP	10.45	0.87	26.2%	2.22	2.50	10.1	0.87	17.2%	55.2%	27.6%
167	Wandy Peralta	SDP	4.50	0.00	14.3%	4.34	4.60	2.0	0.87	16.7%	33.3%	50.0%
168	Will Warren	NYY	8.38	4.66	8.2%	4.02	4.51	9.2	0.87	26.5%	50.0%	23.5%
169	Yoshinobu Yamamoto	LAD	8.16	1.26	20.8%	2.75	3.09	14.1	0.85	21.6%	51.4%	27.0%
170	Zac Gallen	ARI	5.28	2.93	5.2%	5.24	5.26	15.1	0.89	27.9%	36.1%	36.1%
171	Zack Littell	WSN	2.70	4.05	-2.9%	7.66	7.85	6.2	0.87	31.0%	10.3%	58.6%
172	Zack Wheeler	PHI	10.70	3.06	21.4%	2.92	3.12	17.2	0.89	16.7%	54.8%	28.6%
173	Zebby Matthews	MIN	5.54	0.69	12.5%	4.40	4.52	13.0	0.89	21.3%	36.2%	42.6%
