#	Name	Team	BB% BB% - Walk Percentage (BB/PA)	AVG AVG - Batting Average (H/AB)	OBP OBP - On Base Percentage	wRC+ wRC+ - Runs per PA scaled where 100 is average; both league and park adjusted; based on wOBA	PA PA - Plate Appearances	K% K% - Strikeout Percentage (SO/PA)	SLG SLG - Slugging Percentage	wOBA wOBA - Weighted On Base Average (Linear Weights)	OPS OPS - On Base + Slugging Percentage
165	Blaze Alexander	BAL	5.2%	.281	.323	109	96	20.8%	.438	.331	.761
166	Ryan Vilade	TBR	9.0%	.283	.343	112	67	23.9%	.417	.335	.760
167	Hyeseong Kim	LAD	9.7%	.308	.375	116	72	19.4%	.385	.341	.760
168	Adam Frazier	LAA	13.0%	.231	.348	115	46	30.4%	.410	.339	.758
169	Harrison Bader	SFG	3.5%	.218	.246	101	57	28.1%	.509	.320	.755
170	Rafael Devers	SFG	10.1%	.249	.323	106	189	29.6%	.432	.327	.755
171	Logan O'Hoppe	LAA	8.5%	.259	.330	110	94	17.0%	.424	.333	.753
172	JJ Bleday	CIN	8.8%	.235	.301	106	114	20.2%	.451	.326	.752
173	Jazz Chisholm Jr.	NYY	10.3%	.245	.327	110	156	25.6%	.424	.332	.751
174	Noelvi Marte	CIN	5.4%	.314	.351	111	37	18.9%	.400	.333	.751
175	Garrett Mitchell	MIL	12.7%	.235	.339	111	118	33.1%	.412	.334	.751
176	Sebastián Rivero	LAA	5.9%	.323	.364	112	34	17.6%	.387	.335	.751
177	William Contreras	MIL	6.3%	.299	.347	109	144	13.2%	.403	.331	.750
178	Cam Smith	HOU	5.5%	.269	.317	107	145	26.2%	.433	.328	.750
179	Christian Koss	SFG	0.0%	.250	.250	99	4	0.0%	.500	.316	.750
180	Charles McAdoo	TOR	0.0%	.250	.250	101	12	16.7%	.500	.320	.750
181	Kazuma Okamoto	TOR	11.0%	.207	.305	108	154	33.1%	.444	.329	.750
182	Carter Jensen	KCR	9.4%	.230	.297	101	128	31.3%	.451	.319	.748
183	Javier Báez	DET	2.1%	.283	.313	106	48	20.8%	.435	.327	.747
184	David Fry	CLE	11.6%	.213	.304	107	69	31.9%	.443	.327	.747
185	Edmundo Sosa	PHI	2.0%	.255	.300	106	50	28.0%	.447	.326	.747
186	Junior Caminero	TBR	11.2%	.245	.329	108	170	18.2%	.417	.329	.747
187	Bryan Reynolds	PIT	11.0%	.243	.335	110	164	25.6%	.410	.332	.745
188	Nick Gonzales	PIT	4.5%	.299	.342	108	155	20.0%	.403	.330	.745
189	Nathaniel Lowe	CIN	11.7%	.275	.359	112	103	26.2%	.385	.335	.744
190	Nick Allen	HOU	5.9%	.290	.353	110	34	20.6%	.387	.333	.740
191	Edwin Arroyo	CIN	10.3%	.320	.379	109	29	17.2%	.360	.331	.739
192	Jo Adell	LAA	2.7%	.256	.291	102	182	21.4%	.448	.320	.739
193	Isaac Paredes	HOU	9.9%	.246	.352	111	142	13.4%	.385	.334	.737
194	Luke Raley	SEA	5.2%	.224	.278	101	116	31.9%	.458	.319	.736
195	José Ramírez	CLE	11.9%	.221	.314	103	159	16.4%	.421	.322	.736
196	Heliot Ramos	SFG	7.5%	.259	.312	99	93	22.6%	.424	.317	.735
197	Carson Benge	NYM	7.6%	.247	.304	102	158	22.8%	.432	.321	.735
198	Myles Straw	TOR	11.1%	.254	.338	107	72	15.3%	.397	.328	.735
199	Nick Loftin	KCR	11.6%	.236	.353	108	69	10.1%	.382	.330	.735
200	Austin Hedges	CLE	9.4%	.267	.333	104	53	9.4%	.400	.323	.733
201	George Valera	CLE	0.0%	.267	.267	96	15	26.7%	.467	.312	.733
202	Caleb Durbin	BOS	5.6%	.250	.302	101	126	16.7%	.431	.319	.733
203	Spencer Steer	CIN	8.0%	.250	.313	103	150	22.7%	.419	.322	.732
204	Mark Vientos	NYM	3.2%	.237	.266	97	124	23.4%	.466	.313	.732
205	Brandon Lockridge	MIL	9.1%	.308	.372	109	44	31.8%	.359	.331	.731
206	Eric Wagaman	NYM	22.2%	.286	.444	125	9	22.2%	.286	.354	.730
207	Dustin Harris	2 Tms	5.6%	.290	.343	102	36	11.1%	.387	.321	.730
208	Austin Martin	MIN	13.8%	.258	.379	113	116	19.0%	.351	.337	.730
209	Jorge Barrosa	ARI	7.0%	.240	.309	101	57	31.6%	.420	.319	.729
210	Andy Pages	LAD	7.1%	.242	.290	97	169	24.9%	.438	.313	.728
211	Marcelo Mayer	BOS	8.8%	.275	.345	106	113	18.6%	.382	.327	.727
212	Colby Thomas	ATH	0.0%	.273	.273	97	22	31.8%	.455	.313	.727
213	Jake Fraley	TBR	9.8%	.239	.314	102	51	25.5%	.413	.320	.727
214	Zack Gelof	ATH	8.3%	.241	.313	102	96	27.1%	.414	.320	.726
215	Andrew Benintendi	CHW	7.6%	.244	.298	98	131	30.5%	.429	.315	.726
216	Lane Thomas	KCR	16.5%	.238	.369	111	103	22.3%	.357	.333	.726
217	Vinnie Pasquantino	KCR	9.3%	.254	.329	102	140	17.9%	.397	.320	.725
218	Kyle Stowers	MIA	7.8%	.238	.304	98	116	31.9%	.419	.314	.723
219	Ryan O'Hearn	PIT	7.6%	.269	.328	102	131	19.1%	.395	.321	.723
220	Vladimir Guerrero Jr.	TOR	6.3%	.276	.323	97	158	10.8%	.400	.313	.723
221	Carson Kelly	CHC	8.7%	.265	.337	104	92	14.1%	.386	.324	.722
222	Luke Keaschall	MIN	11.0%	.296	.386	109	145	11.7%	.336	.330	.722
223	José Caballero	NYY	5.0%	.273	.319	100	119	24.4%	.400	.317	.719
224	Alex Call	LAD	12.5%	.261	.393	114	56	10.7%	.326	.338	.719
225	Yohendrick Piñango	TOR	5.8%	.277	.319	100	69	26.1%	.400	.318	.719
226	Rob Refsnyder	SEA	11.5%	.233	.346	105	52	26.9%	.372	.325	.718
227	Ian Happ	CHC	11.0%	.207	.303	98	155	34.2%	.415	.314	.718
228	Jorbit Vivas	WSN	4.9%	.292	.342	102	82	9.8%	.375	.320	.717
229	Yoán Moncada	LAA	13.5%	.238	.351	106	74	28.4%	.365	.326	.716
230	Heriberto Hernández	MIA	6.3%	.213	.263	94	80	32.5%	.453	.308	.716
231	Seiya Suzuki	CHC	7.3%	.257	.317	100	123	31.7%	.398	.317	.715
232	Josh Naylor	SEA	6.4%	.262	.314	99	156	12.8%	.400	.316	.714
233	Xander Bogaerts	SDP	13.2%	.236	.351	105	151	18.5%	.362	.325	.713
234	Michael Busch	CHC	16.4%	.220	.364	106	165	21.2%	.348	.326	.712
235	Christian Yelich	MIL	8.4%	.244	.316	98	95	28.4%	.395	.315	.711
236	Ketel Marte	ARI	7.2%	.243	.296	95	152	19.7%	.414	.311	.710
237	Gary Sánchez	MIL	16.5%	.175	.329	102	79	19.0%	.381	.320	.710
238	Alex Freeland	LAD	13.0%	.276	.367	103	92	25.0%	.342	.323	.709
239	Ali Sánchez	NYY	11.1%	.250	.333	100	9	44.4%	.375	.317	.708
240	Francisco Alvarez	NYM	8.6%	.268	.341	101	93	22.6%	.366	.319	.707
241	Brandon Marsh	PHI	3.3%	.259	.293	93	123	23.6%	.414	.308	.706
242	Willi Castro	COL	11.5%	.228	.328	100	131	29.0%	.377	.318	.705
243	Chase Meidroth	CHW	9.0%	.268	.335	99	167	30.5%	.369	.316	.704
244	Ildemaro Vargas	ARI	4.0%	.288	.315	92	125	11.2%	.390	.306	.704
245	Drew Gilbert	SFG	6.7%	.250	.308	95	105	21.0%	.396	.310	.704
246	Josh Bell	MIN	9.5%	.236	.310	95	158	22.8%	.393	.311	.703
247	Gunnar Henderson	BAL	7.6%	.226	.288	91	170	27.6%	.413	.304	.701
248	Kody Clemens	MIN	5.0%	.211	.263	88	139	20.9%	.438	.299	.700
249	Derek Hill	2 Tms	5.9%	.213	.275	92	51	39.2%	.426	.306	.700
250	Isiah Kiner-Falefa	BOS	8.2%	.304	.361	100	61	14.8%	.339	.318	.700
251	Dominic Smith	ATL	4.5%	.250	.287	90	88	8.0%	.413	.302	.700
252	Andruw Monasterio	BOS	0.0%	.264	.264	87	72	25.0%	.431	.299	.694
253	Jake McCarthy	COL	6.1%	.275	.321	92	114	19.3%	.373	.307	.694
254	Spencer Torkelson	DET	11.0%	.205	.305	93	154	29.2%	.386	.307	.692
255	Elly De La Cruz	CIN	7.6%	.218	.288	90	132	28.8%	.403	.303	.691
256	Brice Turang	MIL	16.1%	.203	.329	93	155	25.8%	.359	.307	.688
257	Kyle Higashioka	TEX	12.8%	.221	.321	95	78	23.1%	.368	.311	.688
258	Colton Cowser	BAL	10.9%	.222	.304	91	92	33.7%	.383	.305	.687
259	Rhys Hoskins	CLE	13.6%	.181	.296	91	125	31.2%	.390	.304	.686
260	Julio Rodríguez	SEA	8.1%	.237	.308	91	172	18.6%	.378	.304	.686
261	Bryce Johnson	SDP	5.6%	.294	.333	93	18	38.9%	.353	.307	.686
262	Adrian Del Castillo	ARI	8.0%	.217	.280	89	75	34.7%	.406	.301	.686
263	Nick Castellanos	SDP	2.1%	.273	.277	82	47	31.9%	.409	.291	.686
264	Everson Pereira	CHW	7.7%	.222	.308	91	52	28.8%	.378	.304	.685
265	Royce Lewis	MIN	6.1%	.200	.263	86	99	31.3%	.422	.297	.685
266	Rodolfo Durán	SDP	5.7%	.152	.200	80	35	28.6%	.485	.288	.685
267	Ernie Clement	TOR	2.8%	.285	.305	89	141	11.3%	.380	.301	.685
268	Wyatt Langford	TEX	4.6%	.265	.299	89	87	20.7%	.386	.301	.684
269	Ryan Ward	LAD	9.7%	.214	.290	89	31	29.0%	.393	.302	.683
270	Garrett Stubbs	PHI	0.0%	.308	.375	98	16	12.5%	.308	.315	.683
271	Yainer Diaz	HOU	3.1%	.274	.292	85	65	9.2%	.387	.296	.679
272	Alejandro Osuna	TEX	8.6%	.275	.362	97	58	13.8%	.314	.314	.676
273	Cole Young	SEA	4.5%	.259	.312	89	157	17.2%	.364	.301	.676
274	Jasson Domínguez	NYY	5.3%	.176	.263	86	19	21.1%	.412	.297	.675
275	Marcus Semien	NYM	8.0%	.240	.298	87	162	21.0%	.377	.298	.675
276	Agustín Ramírez	MIA	7.4%	.255	.333	87	54	20.4%	.340	.298	.674
277	Christian Vázquez	HOU	6.5%	.250	.299	87	77	13.0%	.375	.299	.674
278	Colt Keith	DET	3.4%	.245	.282	84	117	21.4%	.391	.294	.673
279	Jeremy Peña	HOU	8.2%	.235	.320	90	97	13.4%	.353	.304	.673
280	Adley Rutschman	BAL	6.6%	.224	.283	85	106	17.0%	.388	.295	.671
281	Edouard Julien	COL	13.7%	.222	.337	94	95	24.2%	.333	.309	.670
282	Brett Sullivan	COL	6.8%	.189	.254	80	59	22.0%	.415	.288	.669
283	Bo Bichette	NYM	3.9%	.263	.294	84	180	15.6%	.374	.294	.669
284	Brendan Donovan	SEA	9.4%	.217	.321	91	53	11.3%	.348	.304	.669
285	Kyle Karros	COL	9.4%	.244	.319	88	138	23.2%	.350	.301	.668
286	Connor Joe	SEA	0.0%	.267	.267	79	15	26.7%	.400	.287	.667
287	Stuart Fairchild	CLE	40.0%	.167	.500	135	10	50.0%	.167	.369	.667
288	Raynel Delgado	HOU	0.0%	.333	.333	86	3	33.3%	.333	.297	.667
289	Omar Martinez	LAA	0.0%	.333	.333	86	3	33.3%	.333	.297	.667
290	Josh Jung	TEX	7.1%	.252	.315	87	168	17.3%	.351	.299	.666
291	Leody Taveras	BAL	9.1%	.227	.306	87	110	29.1%	.361	.298	.666
292	Nathan Church	STL	7.4%	.240	.296	85	108	25.9%	.370	.295	.666
293	A.J. Ewing	NYM	8.3%	.281	.338	89	72	29.2%	.328	.301	.666
294	Tyler Soderstrom	ATH	9.0%	.213	.282	79	156	20.5%	.383	.287	.665
295	Jackson Holliday	BAL	12.8%	.176	.282	84	39	35.9%	.382	.294	.664
296	Dylan Crews	WSN	1.8%	.218	.246	79	57	24.6%	.418	.287	.664
297	Nick Fortes	TBR	4.3%	.271	.323	87	94	14.9%	.341	.299	.664
298	Matt McLain	CIN	7.0%	.221	.282	83	143	26.6%	.382	.293	.663
299	Ryan Mountcastle	BAL	12.5%	.286	.375	95	8	12.5%	.286	.311	.661
300	Tyler Tolbert	KCR	12.5%	.286	.375	95	16	43.8%	.286	.311	.661
301	Jacob Wilson	ATH	1.0%	.280	.284	79	96	15.6%	.376	.287	.661
302	Lars Nootbaar	STL	6.1%	.226	.273	81	33	18.2%	.387	.289	.660
303	Brent Rooker	ATH	8.8%	.208	.283	80	113	34.5%	.376	.288	.659
304	Dylan Beavers	BAL	13.6%	.240	.339	89	59	23.7%	.320	.302	.659
305	Mauricio Dubón	ATL	7.2%	.245	.305	84	152	14.5%	.353	.294	.657
306	Ben Williamson	TBR	9.6%	.250	.323	86	94	16.0%	.333	.298	.656
307	Andrew McCutchen	TEX	11.9%	.235	.322	86	59	28.8%	.333	.297	.655
308	Dansby Swanson	CHC	12.5%	.188	.296	85	136	29.4%	.359	.295	.655
309	Starling Marte	KCR	3.9%	.255	.314	85	51	23.5%	.340	.296	.654
310	Connor Norby	MIA	8.8%	.210	.292	82	113	29.2%	.360	.291	.652
311	Kevin Alcántara	CHC	20.0%	.250	.400	101	5	40.0%	.250	.319	.650
312	Roman Anthony	BOS	13.2%	.224	.338	85	68	32.4%	.310	.296	.649
313	Richie Palacios	TBR	7.5%	.241	.323	85	93	20.4%	.325	.296	.648
314	Jorge Soler	LAA	10.1%	.202	.279	78	129	34.1%	.368	.286	.647
315	Shay Whitcomb	HOU	7.7%	.167	.231	75	13	38.5%	.417	.280	.647
316	Masyn Winn	STL	6.8%	.235	.291	77	148	18.9%	.356	.284	.647
317	Sal Frelick	MIL	7.4%	.273	.328	84	121	5.0%	.318	.294	.646
318	Nick Sogard	BOS	11.1%	.250	.333	86	18	16.7%	.313	.297	.646
319	George Springer	TOR	6.5%	.214	.278	78	108	16.7%	.367	.286	.645
320	Jakob Marsee	MIA	11.7%	.211	.314	84	154	28.6%	.331	.294	.645
321	Nolan Schanuel	LAA	9.2%	.229	.305	82	131	16.0%	.339	.292	.644
322	Max Muncy	ATH	5.9%	.213	.279	76	68	38.2%	.361	.283	.640
323	Daniel Schneemann	CLE	7.9%	.216	.278	77	126	32.5%	.362	.284	.640
324	Samuel Basallo	BAL	9.2%	.229	.300	80	120	29.2%	.339	.288	.639
325	Bryson Stott	PHI	4.8%	.212	.248	71	125	15.2%	.390	.276	.638
326	Victor Bericoto	SFG	0.0%	.182	.182	66	11	27.3%	.455	.268	.636
327	Angel Martínez	CLE	2.4%	.226	.262	73	124	17.7%	.374	.278	.636
328	Orlando Arcia	MIN	3.1%	.290	.313	77	32	18.8%	.323	.284	.635
329	Victor Robles	SEA	3.1%	.290	.313	77	32	9.4%	.323	.284	.635
330	Ramón Urías	STL	10.0%	.167	.300	80	30	20.0%	.333	.289	.633
331	Anthony Seigler	BOS	10.0%	.222	.300	78	10	40.0%	.333	.286	.633
332	Jacob Young	WSN	4.7%	.208	.258	73	128	18.8%	.375	.277	.633
333	Nasim Nuñez	WSN	10.1%	.258	.341	84	138	24.6%	.292	.294	.632
334	Brandon Valenzuela	TOR	7.8%	.229	.289	77	77	24.7%	.343	.283	.632
335	Zach Dezenzo	HOU	8.0%	.174	.240	71	25	40.0%	.391	.275	.631
336	Jackson Merrill	SDP	5.7%	.209	.259	73	159	27.7%	.372	.278	.631
337	Konnor Griffin	PIT	6.1%	.230	.293	76	82	32.9%	.338	.283	.631
338	Jarred Kelenic	CHW	10.0%	.259	.333	82	30	33.3%	.296	.291	.630
339	MJ Melendez	NYM	10.0%	.164	.300	81	80	36.3%	.328	.290	.628
340	Danny Jansen	TEX	10.7%	.178	.286	78	84	29.8%	.342	.285	.628
341	Brayan Rocchio	CLE	9.8%	.216	.307	79	153	15.0%	.321	.286	.628
342	Manny Machado	SDP	8.9%	.183	.255	72	158	24.1%	.373	.276	.628
343	Collin Price	HOU	0.0%	.250	.250	67	8	50.0%	.375	.270	.625
344	Moisés Ballesteros	CHC	4.8%	.218	.253	69	83	22.9%	.372	.272	.625
345	Owen Caissie	MIA	8.4%	.186	.253	70	95	43.2%	.372	.274	.625
346	J.P. Crawford	SEA	11.9%	.200	.314	80	118	19.5%	.310	.289	.624
347	Michael Massey	KCR	3.4%	.220	.244	67	87	20.7%	.378	.269	.622
348	Will Benson	CIN	15.3%	.200	.322	77	59	30.5%	.300	.283	.622
349	Chandler Simpson	TBR	5.4%	.265	.306	74	147	8.2%	.316	.280	.622
350	Austin Riley	ATL	10.7%	.176	.283	75	159	32.7%	.338	.281	.621
351	Joey Bart	PIT	2.9%	.242	.286	73	35	40.0%	.333	.278	.619
352	Addison Barger	TOR	14.3%	.167	.286	75	7	0.0%	.333	.281	.619
353	Daniel Susac	SFG	4.2%	.254	.300	72	71	22.5%	.317	.276	.617
354	Nolan Arenado	ARI	9.0%	.200	.286	70	133	25.6%	.330	.274	.616
355	Andrés Giménez	TOR	4.0%	.207	.254	67	126	20.6%	.362	.270	.616
356	Josh Lowe	LAA	5.9%	.206	.250	66	68	30.9%	.365	.268	.615
357	Jake Meyers	HOU	6.3%	.190	.250	67	64	17.2%	.362	.269	.612
358	Brenton Doyle	COL	12.3%	.219	.315	77	73	27.4%	.297	.284	.612
359	Josh Smith	TEX	10.9%	.250	.344	76	64	21.9%	.268	.283	.612
360	Brady House	WSN	7.1%	.196	.253	67	99	30.3%	.359	.270	.611
361	Nico Hoerner	CHC	7.9%	.231	.305	74	164	7.3%	.306	.279	.611
362	Luis Torrens	NYM	3.8%	.216	.256	66	78	21.8%	.351	.268	.608
363	Mookie Betts	LAD	6.6%	.212	.264	67	91	12.1%	.341	.269	.605
364	Jarren Duran	BOS	8.9%	.181	.262	67	168	32.1%	.342	.269	.604
365	Matt Chapman	SFG	6.5%	.214	.270	65	185	25.4%	.333	.266	.604
366	Joey Loperfido	HOU	18.4%	.205	.347	75	49	28.6%	.256	.281	.603
367	Tyler Freeman	COL	3.4%	.217	.272	68	116	13.8%	.330	.270	.602
368	Masataka Yoshida	BOS	8.1%	.234	.302	70	86	14.0%	.299	.273	.601
369	Trevor Story	BOS	4.4%	.221	.264	65	91	31.9%	.337	.267	.601
370	Will Smith	LAD	11.2%	.238	.327	74	98	12.2%	.274	.280	.600
371	Jeff McNeil	ATH	6.2%	.235	.289	66	129	18.6%	.311	.268	.600
372	Jhostynxon Garcia	PIT	3.8%	.250	.308	71	26	23.1%	.292	.275	.599
373	Jordan Lawlar	ARI	6.3%	.214	.313	74	16	25.0%	.286	.280	.598
374	Fernando Tatis Jr.	SDP	6.5%	.239	.286	64	168	24.4%	.310	.264	.595
375	Cody Bellinger	NYY	12.9%	.197	.300	70	170	15.9%	.293	.274	.593
376	Pedro Pagés	STL	2.9%	.219	.261	61	70	25.7%	.328	.261	.589
377	Lenyn Sosa	2 Tms	0.0%	.233	.230	55	75	21.3%	.356	.251	.586
378	Mike Yastrzemski	ATL	10.0%	.214	.300	68	110	25.5%	.286	.271	.586
379	Jose Fernandez	ARI	3.2%	.241	.275	62	93	21.5%	.310	.262	.585
380	Kyle Isbel	KCR	5.3%	.233	.283	63	94	19.1%	.302	.264	.585
381	Maikel Garcia	KCR	8.1%	.211	.274	62	135	16.3%	.309	.262	.583
382	Trent Grisham	NYY	13.5%	.181	.291	67	148	18.9%	.291	.269	.582
383	Jake Mangum	PIT	1.1%	.259	.276	60	90	20.0%	.306	.259	.582
384	Matt Wallner	MIN	8.8%	.167	.265	65	68	32.4%	.317	.266	.581
385	Francisco Lindor	NYM	10.5%	.180	.281	65	57	17.5%	.300	.267	.581
386	Ezequiel Tovar	COL	4.6%	.225	.263	59	152	27.6%	.317	.257	.580
387	Eugenio Suárez	CIN	7.2%	.211	.268	61	97	32.0%	.311	.260	.579
388	Evan Carter	TEX	15.2%	.156	.285	66	132	22.7%	.294	.268	.578
389	Wade Meckler	LAA	8.6%	.208	.276	62	58	22.4%	.302	.262	.578
390	Jared Triolo	PIT	9.8%	.210	.304	67	92	19.6%	.272	.270	.576
391	Jake Cronenworth	SDP	12.7%	.156	.309	72	55	18.2%	.267	.277	.576
392	Rece Hinds	CIN	5.3%	.188	.263	58	19	42.1%	.313	.255	.576
393	Coby Mayo	BAL	8.2%	.170	.245	59	110	32.7%	.330	.258	.575
