#	Name	Team	BB% BB% - Walk Percentage (BB/PA)	AVG AVG - Batting Average (H/AB)	OBP OBP - On Base Percentage	wRC+ wRC+ - Runs per PA scaled where 100 is average; both league and park adjusted; based on wOBA	PA PA - Plate Appearances	K% K% - Strikeout Percentage (SO/PA)	SLG SLG - Slugging Percentage	wOBA wOBA - Weighted On Base Average (Linear Weights)	OPS OPS - On Base + Slugging Percentage
270	Travis d'Arnaud	LAA	0.0%	.200	.294	93	17	23.5%	.400	.312	.694
271	Anthony Volpe	NYY	11.5%	.261	.346	100	52	19.2%	.348	.315	.694
272	Drew Romo	CHW	5.4%	.173	.232	85	56	28.6%	.462	.297	.694
273	Heriberto Hernández	MIA	11.0%	.254	.341	96	82	18.3%	.352	.314	.694
274	Jacob Young	WSN	5.0%	.250	.300	93	121	18.2%	.393	.306	.693
275	Brandon Lockridge	MIL	11.5%	.283	.365	103	52	21.2%	.326	.318	.691
276	Jonny DeLuca	TBR	1.4%	.250	.260	84	74	24.3%	.431	.297	.691
277	Braxton Fulford	COL	16.7%	.214	.333	66	18	38.9%	.357	.307	.690
278	Orlando Arcia	MIN	5.6%	.235	.278	87	18	11.1%	.412	.302	.690
279	Eugenio Suárez	CIN	8.2%	.205	.268	78	97	36.1%	.420	.299	.688
280	Bryan Torres	STL	13.0%	.211	.318	100	23	17.4%	.368	.310	.687
281	Gabriel Moreno	ARI	10.9%	.236	.327	94	101	13.9%	.360	.310	.686
282	Brett Baty	NYM	8.8%	.259	.320	99	125	28.0%	.366	.305	.686
283	Kyle Manzardo	CLE	12.5%	.242	.348	100	112	34.8%	.337	.314	.685
284	Nick Gonzales	PIT	6.6%	.286	.343	92	137	15.3%	.341	.310	.684
285	Richie Palacios	TBR	18.3%	.227	.366	98	82	22.0%	.318	.318	.684
286	Jazz Chisholm Jr.	NYY	12.1%	.205	.298	92	141	30.5%	.385	.302	.683
287	Brent Rooker	ATH	10.0%	.190	.278	82	90	28.9%	.405	.300	.683
288	José Tena	WSN	6.9%	.235	.287	88	87	31.0%	.395	.299	.682
