#	Name	Team	K/9 K/9 - Strikeouts per 9 Innings ((SO*9)/IP)	BB/9 BB/9 - Walks per 9 Innings ((BB*9)/IP)	K-BB% K-BB% - The difference between strikeout percentage and walk percentage	xFIP xFIP - Expected Fielder Independent Pitching where Home Runs are calculated as 10.5% of Fly Balls induced	SIERA SIERA - Skill Interactive ERA	IP IP - Innings Pitched	gmLI gmLI - Average Leverage Index when entering the game	LD% LD% - Line Drive Percentage (LD/BIP)	GB% GB% - Ground Ball Percentage (GB/BIP)	FB% FB% - Fly Ball Percentage (FB/BIP)
201	Taj Bradley	MIN	10.05	3.77	16.1%	4.04	3.95	71.2	0.88	21.7%	33.8%	44.4%
202	Tanner Bibee	CLE	7.86	2.82	13.7%	4.10	4.17	89.1	0.87	19.9%	38.7%	41.4%
203	Tanner Gordon	COL	5.63	2.25	7.9%	5.96	5.19	8.0	0.87	10.0%	36.7%	53.3%
204	Tarik Skubal	DET	9.56	1.34	23.1%	2.70	2.99	53.2	0.86	24.3%	45.7%	30.0%
205	Tatsuya Imai	HOU	10.54	5.27	13.3%	4.08	4.24	41.0	0.81	20.4%	45.6%	34.0%
206	Tomoyuki Sugano	COL	5.03	2.70	6.1%	5.10	5.20	73.1	0.87	21.0%	36.7%	42.3%
207	Trevor McDonald	SFG	8.65	3.16	14.1%	3.49	3.59	42.2	0.88	22.1%	58.2%	19.7%
208	Trevor Rogers	BAL	6.55	3.00	9.0%	4.86	4.82	66.0	0.84	19.0%	36.6%	44.4%
209	Trey Gibson	BAL	6.66	5.92	1.8%	4.88	5.38	24.1	0.87	23.4%	51.9%	24.7%
210	Trey Yesavage	TOR	8.67	4.09	12.5%	4.52	4.44	55.0	0.88	16.3%	33.3%	50.4%
211	Troy Melton	DET	4.91	2.10	7.8%	4.57	4.83	25.2	0.89	19.8%	43.2%	37.0%
212	Tyler Glasnow	LAD	11.12	2.95	24.3%	2.89	2.99	39.2	0.88	15.1%	45.3%	39.5%
213	Tyler Mahle	SFG	9.05	3.81	13.3%	4.13	4.20	56.2	0.88	15.8%	43.6%	40.6%
214	Tyler Phillips	MIA	7.64	4.08	9.2%	4.37	4.62	17.2	0.87	15.7%	47.1%	37.3%
